# Generated by tmod.input prcp_voronoi=prcp_stations_voronoi_watershed evap_voronoi=evap_stations_voronoi_watershed start_date=2010-01-01 end_date=2020-12-31 output=input.txt
# dt [h]: Time step
24

################################################################################
# R [m/dt]:  Rainfall
# Ep [m/dt]: Potential evapotranspiration

# R Ep
0.000000 0.001000
0.000470 0.003000
0.020712 0.000000
0.060165 0.000000
0.008305 0.001000
0.000000 0.001800
0.000000 0.002800
0.000000 0.002000
0.000000 0.001500
0.000000 0.002000
0.000000 0.001800
0.007798 0.000000
0.002825 0.000500
0.000992 0.000300
0.000171 0.000300
0.000000 0.000500
0.000000 0.001300
0.000000 0.002000
0.000000 0.003800
0.000000 0.003800
0.000000 0.003000
0.000000 0.003300
0.005870 0.002000
0.021976 0.000300
0.000124 0.003000
0.000750 0.002800
0.000072 0.002300
0.000324 0.002500
0.000000 0.002000
0.000000 0.001500
0.000000 0.003000
0.000000 0.002300
0.042124 0.001000
0.000000 0.002500
0.000000 0.001300
0.000000 0.001300
0.000000 0.003300
0.000000 0.002300
0.000000 0.003000
0.001190 0.001800
0.006940 0.001000
0.000000 0.003000
0.000000 0.002800
0.000000 0.004100
0.000000 0.002300
0.000000 0.004600
0.000000 0.002800
0.030584 0.000300
0.000019 0.000500
0.000203 0.002500
0.000000 0.002300
0.000933 0.001800
0.013574 0.001000
0.001742 0.000800
0.008094 0.000300
0.000863 0.000500
0.015434 0.000500
0.000000 0.000800
0.000000 0.002500
0.000317 0.002500
0.000911 0.000300
0.000349 0.003800
0.005616 0.000300
0.008843 0.000300
0.001549 0.000000
0.000000 0.003000
0.000000 0.004600
0.000109 0.004800
0.002828 0.002000
0.000607 0.000800
0.000899 0.001800
0.001935 0.002300
0.013800 0.000500
0.005400 0.001500
0.000000 0.003800
0.000000 0.004800
0.000000 0.004800
0.003464 0.003300
0.016565 0.000500
0.000102 0.002500
0.000378 0.003300
0.005985 0.001300
0.000000 0.003800
0.000316 0.005100
0.000768 0.000500
0.002532 0.003000
