# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-09-23 01:20:49 EDT       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 02331600 CHATTAHOOCHEE RIVER NEAR CORNELIA, GA
# -----------------------------------------------------------------------------------
#
# Data provided for site 02331600
#            TS   parameter     statistic     Description
#         36244       00060     00003     Discharge, cubic feet per second (Mean)
#         36245       00065     00001     Gage height, feet (Maximum)
#         36246       00065     00002     Gage height, feet (Minimum)
#         36247       00065     00003     Gage height, feet (Mean)
#         36248       00045     00006     Precipitation, total, inches (Sum)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	36244_00060_00003	36244_00060_00003_cd	36247_00065_00003	36247_00065_00003_cd	36248_00045_00006	36248_00045_00006_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s
USGS	02331600	2010-01-01	1320	A	2.08	A	0.00	A
USGS	02331600	2010-01-02	1250	A	2.00	A	0.00	A
USGS	02331600	2010-01-03	1210	A	1.96	A	0.00	A
USGS	02331600	2010-01-04	1180	A	1.93	A	0.00	A
USGS	02331600	2010-01-05	1160	A	1.90	A	0.00	A
USGS	02331600	2010-01-06	1140	A	1.88	A	0.00	A
USGS	02331600	2010-01-07	1130	A	1.87	A	0.02	A
USGS	02331600	2010-01-08	1110	A	1.85	A	0.00	A
USGS	02331600	2010-01-09	1080	A	1.82	A	0.00	A
USGS	02331600	2010-01-10	1060	A	1.80	A	0.00	A
USGS	02331600	2010-01-11	1050	A	1.78	A	0.00	A
USGS	02331600	2010-01-12	1050	A	1.78	A	0.00	A
USGS	02331600	2010-01-13	1030	A	1.76	A	0.00	A
USGS	02331600	2010-01-14	1020	A	1.75	A	0.00	A
USGS	02331600	2010-01-15	1010	A	1.74	A	0.00	A
USGS	02331600	2010-01-16	1020	A	1.74	A	0.80	A
USGS	02331600	2010-01-17	2570	A	3.27	A	1.11	A
USGS	02331600	2010-01-18	1790	A	2.55	A	0.00	A
USGS	02331600	2010-01-19	1390	A	2.15	A	0.00	A
USGS	02331600	2010-01-20	1260	A	2.02	A	0.00	A
USGS	02331600	2010-01-21	1530	A	2.29	A	0.71	A
USGS	02331600	2010-01-22	1530	A	2.30	A	0.02	A
USGS	02331600	2010-01-23	1330	A	2.09	A	0.00	A
USGS	02331600	2010-01-24	2500	A	3.12	A	2.57	A
USGS	02331600	2010-01-25	4520	A	4.97	A	0.00	A
USGS	02331600	2010-01-26	2070	A	2.80	A	0.00	A
USGS	02331600	2010-01-27	1680	A	2.45	A	0.00	A
USGS	02331600	2010-01-28	1510	A	2.28	A	0.00	A
USGS	02331600	2010-01-29	1410	A	2.17	A	0.08	A
USGS	02331600	2010-01-30	1640	A	2.40	A	0.64	A
USGS	02331600	2010-01-31	1440	A	2.21	A	0.01	A
USGS	02331600	2010-02-01	1360	A	2.12	A	0.01	A
USGS	02331600	2010-02-02	1440	A	2.21	A	0.42	A
USGS	02331600	2010-02-03	1390	A	2.15	A	0.00	A
USGS	02331600	2010-02-04	1330	A	2.09	A	0.47	A
USGS	02331600	2010-02-05	5580	A	5.80	A	2.34	A
USGS	02331600	2010-02-06	3500	A	4.13	A	0.00	A
USGS	02331600	2010-02-07	2140	A	2.87	A	0.00	A
USGS	02331600	2010-02-08	1820	A	2.58	A	0.00	A
USGS	02331600	2010-02-09	1700	A	2.47	A	0.23	A
USGS	02331600	2010-02-10	1620	A	2.39	A	0.00	A
USGS	02331600	2010-02-11	1510	A	2.28	A	0.00	A
USGS	02331600	2010-02-12	1460	A	2.22	A	0.00	A
USGS	02331600	2010-02-13	1430	A	2.19	A	0.11	A
USGS	02331600	2010-02-14	1380	A	2.14	A	0.01	A
USGS	02331600	2010-02-15	1430	A	2.19	A	0.22	A
USGS	02331600	2010-02-16	1360	A	2.12	A	0.00	A
USGS	02331600	2010-02-17	1310	A	2.07	A	0.00	A
USGS	02331600	2010-02-18	1280	A	2.04	A	0.00	A
USGS	02331600	2010-02-19	1270	A	2.02	A	0.00	A
USGS	02331600	2010-02-20	1240	A	1.99	A	0.00	A
USGS	02331600	2010-02-21	1230	A	1.98	A	0.00	A
USGS	02331600	2010-02-22	1410	A	2.17	A	0.64	A
USGS	02331600	2010-02-23	1300	A	2.06	A	0.00	A
USGS	02331600	2010-02-24	1240	A	1.99	A	0.00	A
USGS	02331600	2010-02-25	1200	A	1.95	A	0.00	A
USGS	02331600	2010-02-26	1180	A	1.92	A	0.00	A
USGS	02331600	2010-02-27	1160	A	1.91	A	0.00	A
USGS	02331600	2010-02-28	1150	A	1.89	A	0.00	A
USGS	02331600	2010-03-01	1120	A	1.87	A	0.00	A
USGS	02331600	2010-03-02	1230	A	1.98	A	0.62	A
USGS	02331600	2010-03-03	1250	A	2.00	A	0.23	A
USGS	02331600	2010-03-04	1180	A	1.93	A	0.00	A
USGS	02331600	2010-03-05	1140	A	1.88	A	0.00	A
USGS	02331600	2010-03-06	1100	A	1.84	A	0.00	A
USGS	02331600	2010-03-07	1090	A	1.83	A	0.00	A
USGS	02331600	2010-03-08	1080	A	1.82	A	0.00	A
USGS	02331600	2010-03-09	1070	A	1.80	A	0.00	A
USGS	02331600	2010-03-10	1170	A	1.91	A	1.11	A
USGS	02331600	2010-03-11	1300	A	2.06	A	0.39	A
USGS	02331600	2010-03-12	1380	A	2.14	A	0.43	A
USGS	02331600	2010-03-13	1820	A	2.57	A	0.01	A
USGS	02331600	2010-03-14	1380	A	2.15	A	0.01	A
USGS	02331600	2010-03-15	1270	A	2.02	A	0.00	A
USGS	02331600	2010-03-16	1190	A	1.94	A	0.00	A
USGS	02331600	2010-03-17	1150	A	1.89	A	0.00	A
USGS	02331600	2010-03-18	1120	A	1.86	A	0.00	A
USGS	02331600	2010-03-19	1090	A	1.83	A	0.00	A
USGS	02331600	2010-03-20	1060	A	1.80	A	0.00	A
USGS	02331600	2010-03-21	1090	A	1.83	A	0.67	A
USGS	02331600	2010-03-22	1300	A	2.06	A	0.01	A
USGS	02331600	2010-03-23	1140	A	1.88	A	0.00	A
USGS	02331600	2010-03-24	1080	A	1.82	A	0.00	A
USGS	02331600	2010-03-25	1060	A	1.80	A	0.08	A
USGS	02331600	2010-03-26	1080	A	1.81	A	0.01	A
USGS	02331600	2010-03-27	1020	A	1.75	A	0.00	A
USGS	02331600	2010-03-28	1080	A	1.81	A	0.26	A
USGS	02331600	2010-03-29	1150	A	1.89	A	0.00	A
USGS	02331600	2010-03-30	1050	A	1.78	A	0.00	A
USGS	02331600	2010-03-31	1020	A	1.74	A	0.00	A
USGS	02331600	2010-04-01	993	A	1.72	A	0.00	A
USGS	02331600	2010-04-02	973	A	1.69	A	0.00	A
USGS	02331600	2010-04-03	958	A	1.68	A	0.00	A
USGS	02331600	2010-04-04	942	A	1.66	A	0.00	A
USGS	02331600	2010-04-05	929	A	1.65	A	0.00	A
USGS	02331600	2010-04-06	912	A	1.63	A	0.00	A
USGS	02331600	2010-04-07	898	A	1.62	A	0.00	A
USGS	02331600	2010-04-08	1020	A	1.75	A	0.94	A
USGS	02331600	2010-04-09	1090	A	1.83	A	0.00	A
USGS	02331600	2010-04-10	942	A	1.66	A	0.00	A
USGS	02331600	2010-04-11	907	A	1.62	A	0.00	A
USGS	02331600	2010-04-12	888	A	1.60	A	0.00	A
USGS	02331600	2010-04-13	867	A	1.58	A	0.00	A
USGS	02331600	2010-04-14	853	A	1.57	A	0.00	A
USGS	02331600	2010-04-15	842	A	1.55	A	0.00	A
USGS	02331600	2010-04-16	837	A	1.55	A	0.00	A
USGS	02331600	2010-04-17	820	A	1.53	A	0.00	A
USGS	02331600	2010-04-18	805	A	1.51	A	0.00	A
USGS	02331600	2010-04-19	787	A	1.49	A	0.00	A
USGS	02331600	2010-04-20	801	A	1.51	A	0.16	A
USGS	02331600	2010-04-21	821	A	1.53	A	0.00	A
USGS	02331600	2010-04-22	777	A	1.48	A	0.00	A
USGS	02331600	2010-04-23	760	A	1.46	A	0.00	A
USGS	02331600	2010-04-24	1230	A	1.95	A		
USGS	02331600	2010-04-25	3950	A	4.49	A		
USGS	02331600	2010-04-26	1580	A	2.38	A		
USGS	02331600	2010-04-27	1220	A	2.02	A		
USGS	02331600	2010-04-28	1050	A	1.85	A		
USGS	02331600	2010-04-29	953	A	1.75	A		
USGS	02331600	2010-04-30	896	A	1.69	A		
USGS	02331600	2010-05-01	872	A	1.67	A		
USGS	02331600	2010-05-02	872	A	1.67	A		
USGS	02331600	2010-05-03	1660	A	2.43	A		
USGS	02331600	2010-05-04	1310	A	2.12	A		
USGS	02331600	2010-05-05	1050	A	1.86	A		
USGS	02331600	2010-05-06	960	A	1.75	A		
USGS	02331600	2010-05-07	884	A	1.68	A		
USGS	02331600	2010-05-08	836	A	1.63	A		
USGS	02331600	2010-05-09	782	A	1.57	A		
USGS	02331600	2010-05-10	764	A	1.55	A		
USGS	02331600	2010-05-11	792	A	1.58	A		
USGS	02331600	2010-05-12	782	A	1.57	A		
USGS	02331600	2010-05-13	755	A	1.54	A		
USGS	02331600	2010-05-14	725	A	1.51	A		
USGS	02331600	2010-05-15	747	A	1.53	A		
USGS	02331600	2010-05-16	976	A	1.77	A		
USGS	02331600	2010-05-17	826	A	1.62	A		
USGS	02331600	2010-05-18	737	A	1.52	A		
USGS	02331600	2010-05-19	692	A	1.47	A		
USGS	02331600	2010-05-20	663	A	1.43	A		
USGS	02331600	2010-05-21	686	A	1.46	A		
USGS	02331600	2010-05-22	691	A	1.47	A		
USGS	02331600	2010-05-23	654	A	1.42	A		
