# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-09-19 20:43:43 -04:00	(natwebsdas01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 02331600 CHATTAHOOCHEE RIVER NEAR CORNELIA, GA
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
# IV_TS_ID - An internal number representing the Instantaneous Value time series from which the daily statistic is calculated.
#
# Data provided for site 02331600
#    TS_ID       Parameter    Statistic  IV_TS_ID       Description
#    36248       00045        00006      39444          Precipitation, total, inches (Sum)
#    36244       00060        00003      39442          Discharge, cubic feet per second (Mean)
#    36247       00065        00003      39443          Gage height, feet (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
#
agency_cd	site_no	datetime	36248_00045_00006	36248_00045_00006_cd	36244_00060_00003	36244_00060_00003_cd	36247_00065_00003	36247_00065_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s
USGS	02331600	2011-09-19	0.00	A	170	A	0.22	A
USGS	02331600	2011-09-20	0.07	A	181	A	0.26	A
USGS	02331600	2011-09-21	0.03	A	221	A	0.38	A
USGS	02331600	2011-09-22	2.10	A	380	A	0.73	A
USGS	02331600	2011-09-23	0.40	A	751	A	1.27	A
USGS	02331600	2011-09-24	0.00	A	405	A	0.78	A
USGS	02331600	2011-09-25	0.00	A	276	A	0.52	A
USGS	02331600	2011-09-26	0.29	A	248	A	0.46	A
USGS	02331600	2011-09-27	0.00	A	294	A	0.57	A
USGS	02331600	2011-09-28	0.00	A	242	A	0.44	A
USGS	02331600	2011-09-29	0.00	A	220	A	0.38	A
USGS	02331600	2011-09-30	0.00	A	203	A	0.33	A
USGS	02331600	2011-10-01	0.00	A	186	A	0.27	A
USGS	02331600	2011-10-02	0.00	A	180	A	0.25	A
USGS	02331600	2011-10-03	0.00	A	176	A	0.24	A
USGS	02331600	2011-10-04	0.00	A	172	A	0.22	A
USGS	02331600	2011-10-05	0.00	A	170	A	0.22	A
USGS	02331600	2011-10-06	0.00	A	169	A	0.22	A
USGS	02331600	2011-10-07	0.00	A	166	A	0.21	A
USGS	02331600	2011-10-08	0.00	A	163	A	0.19	A
USGS	02331600	2011-10-09	0.00	A	162	A	0.19	A
USGS	02331600	2011-10-10	0.13	A	164	A	0.19	A
USGS	02331600	2011-10-11	0.50	A	216	A	0.36	A
USGS	02331600	2011-10-12	0.01	A	317	A	0.62	A
USGS	02331600	2011-10-13	0.31	A	235	A	0.42	A
USGS	02331600	2011-10-14	0.00	A	256	A	0.48	A
USGS	02331600	2011-10-15	0.00	A	208	A	0.34	A
USGS	02331600	2011-10-16	0.00	A	185	A	0.27	A
USGS	02331600	2011-10-17	0.00	A	181	A	0.26	A
USGS	02331600	2011-10-18	0.28	A	191	A	0.29	A
USGS	02331600	2011-10-19	0.42	A	354	A	0.68	A
USGS	02331600	2011-10-20	0.00	A	341	A	0.66	A
USGS	02331600	2011-10-21	0.00	A	256	A	0.48	A
USGS	02331600	2011-10-22	0.00	A	232	A	0.41	A
USGS	02331600	2011-10-23	0.00	A	221	A	0.38	A
USGS	02331600	2011-10-24	0.00	A	214	A	0.36	A
USGS	02331600	2011-10-25	0.00	A	205	A	0.33	A
USGS	02331600	2011-10-26	0.00	A	202	A	0.32	A
USGS	02331600	2011-10-27	0.00	A	199	A	0.31	A
USGS	02331600	2011-10-28	0.24	A	203	A	0.33	A
USGS	02331600	2011-10-29	0.00	A	248	A	0.46	A
USGS	02331600	2011-10-30	0.00	A	222	A	0.38	A
USGS	02331600	2011-10-31	0.00	A	209	A	0.34	A
USGS	02331600	2011-11-01	0.00	A	207	A	0.34	A
USGS	02331600	2011-11-02	0.00	A	205	A	0.33	A
USGS	02331600	2011-11-03	0.63	A	219	A	0.37	A
USGS	02331600	2011-11-04	0.00	A	419	A	0.80	A
USGS	02331600	2011-11-05	0.00	A	288	A	0.55	A
USGS	02331600	2011-11-06	0.00	A	251	A	0.46	A
USGS	02331600	2011-11-07	0.00	A	236	A	0.43	A
USGS	02331600	2011-11-08	0.00	A	230	A	0.41	A
USGS	02331600	2011-11-09	0.00	A	228	A	0.40	A
USGS	02331600	2011-11-10	0.02	A	231	A	0.41	A
USGS	02331600	2011-11-11	0.00	A	217	A	0.37	A
USGS	02331600	2011-11-12	0.00	A	211	A	0.35	A
USGS	02331600	2011-11-13	0.00	A	212	A	0.36	A
USGS	02331600	2011-11-14	0.00	A	215	A	0.36	A
USGS	02331600	2011-11-15	0.34	A	228	A	0.40	A
USGS	02331600	2011-11-16	1.34	A	850	A	1.34	A
USGS	02331600	2011-11-17	0.01	A	867	A	1.41	A
USGS	02331600	2011-11-18	0.00	A	455	A	0.87	A
USGS	02331600	2011-11-19	0.00	A	360	A	0.70	A
USGS	02331600	2011-11-20	0.03	A	329	A	0.64	A
USGS	02331600	2011-11-21	0.01	A	313	A	0.61	A
USGS	02331600	2011-11-22	0.57	A	300	A	0.58	A
USGS	02331600	2011-11-23	0.00	A	550	A	1.01	A
USGS	02331600	2011-11-24	0.00	A	394	A	0.77	A
USGS	02331600	2011-11-25	0.00	A	336	A	0.66	A
USGS	02331600	2011-11-26	0.00	A	309	A	0.60	A
USGS	02331600	2011-11-27	0.00	A	299	A	0.58	A
USGS	02331600	2011-11-28	1.38	A	1370	A	1.85	A
USGS	02331600	2011-11-29	0.06	A	1990	A	2.70	A
USGS	02331600	2011-11-30	0.00	A	822	A	1.53	A
USGS	02331600	2011-12-01	0.00	A	556	A	1.19	A
USGS	02331600	2011-12-02	0.00	A	440	A	1.01	A
USGS	02331600	2011-12-03	0.00	A	380	A	0.91	A
USGS	02331600	2011-12-04	0.00	A	344	A	0.84	A
USGS	02331600	2011-12-05	0.01	A	322	A	0.80	A
USGS	02331600	2011-12-06	0.81	A	451	A	1.01	A
USGS	02331600	2011-12-07	0.34	A	1640	A	2.39	A
USGS	02331600	2011-12-08	0.01	A	985	A	1.71	A
USGS	02331600	2011-12-09	0.00	A	672	A	1.35	A
USGS	02331600	2011-12-10	0.00	A	539	A	1.17	A
USGS	02331600	2011-12-11	0.00	A	457	A	1.04	A
USGS	02331600	2011-12-12	0.01	A	414	A	0.97	A
